一丁不识	形容一个字也不认识。
举觞称庆	觞：古代盛酒器。举杯庆贺，表示喜悦。
举贤任能	举：推荐，选拔。举荐贤者，任用能人。
举贤使能	举：推荐，选拔。举荐贤者，任用能人。
举足为法	形容人的行为高尚，为后人所效法。
举足轻重	只要脚移动一下，就会影响两边的轻重。指处于重要地位，一举一动都足以影响全局。
举踵思慕	举：抬起；踵：脚后跟；举踵：踮起脚跟；思慕：思念。形容十分思念，抬起脚后跟张望。
举踵思望	举：抬起；踵：脚后跟；举踵：踮起脚跟。形容十分思念，抬起脚后跟张望。
举酒作乐	举：举办；乐：音乐。举行酒宴，奏起乐曲。
举重若轻	举起沉重的东西像是在摆弄轻的东西。比喻能力强，能够轻松地胜任繁重的工作或处理困难的问题。
举错动作	举错：措施。指举止行动。
举错必当	当：恰当。指措施或举动得体、适当。
举首加额	举：抬起；额：额头。拱手与额相齐，表示喜悦庆幸。
举首奋臂	举：抬起；奋臂：有力地高举手臂。形容精神奋发。
举首戴目	举：抬起；戴目：仰视的样子。形容望着远处而有所期待或殷切期待。
举鼎拔山	能将大鼎举起，能将高山拔动。比喻力大气壮。
举鼎绝脰	举：抬起；绝：折断；脰：颈项。双手举起鼎而折断颈项。比喻力小不能胜任。
举鼎绝膑	绝：折断；膑：胫骨。双手举鼎，折断胫骨。比喻能力小，不能负担重任。
乃心王室	乃：你的；王室：指朝廷。本意是忠于朝廷。后比喻爱国。
乃我困汝	是我使你受害。
乃文乃武	乃：助词。既有文德，又有武功。
乃武乃文	乃：助词。既有武功，又有文德。
乃玉乃金	乃：是。语言像金玉一样。形容文辞优美。
乃祖乃父	乃：你的。你的祖父，你的父亲。指祖父和父亲。
久久不忘	久久：好久，很久。形容印象深刻。
久仰山斗	山：指泰山；斗：指北斗。长期地敬仰某人，如同仰望泰山北斗一样。多用作表示钦佩、仰慕之辞。
久假不归	假：借；归：归还。原指假借仁义的名义而不真正实行，后指长期借用而不归还。
久别重逢	指朋友或亲人在长久分别之后再次见面。
久历风尘	经历过很多艰苦的日子。
久坐地厚	比喻在某一职位上长期磨炼努力，地位自然安定稳固。
久孤于世	降：孤独。有真才实学的人，由于不被世人了解或受到别人的排挤而长期处于孤独的境遇之中。
久安长治	形容国家长期安定、巩固。
久客思归	久客：长期客居在外。指长期客居在外，想回归故乡。
久居人下	现指处境或职务长期处于他人之下。
久归道山	早已去世。道山，传说中的仙山。旧时称人死为归道山。
久役之士	役：服兵役。指长期出征在外的兵士。
久怀慕蔺	比喻想望十分殷切。
久悬不决	拖了很久，没有决定。
久惯牢成	比喻深于世故。
久惯老诚	比喻深于世故。同“久惯牢成”。
久战沙场	沙场：战场。比喻久经锻炼有经验。
久束湿薪	长期捆着的潮湿柴草。比喻思想保守，不易接受新事物。
久梦初醒	形容长期从不明事理中开始明白过来。
久炼成钢	经过长期的或多次的冶炼才能成为好钢。比喻　人必须经过长期的艰苦磨炼才能成为出色的人才。
久病成医	病久了对医理就熟悉了。比喻对某方面的事见识多了就能成为这方面的行家。
久经世故	世俗，俗气，老于世故。
久经考验	经过长久的考查验证。
久经风霜	比喻经过长期艰难困苦的磨练。
久而不匮	匮：缺乏。指物资储蓄充足，在很长时间内不缺乏供应。
久而久之	经过了相当长的时间。
久蛰思启	蛰：原指虫冬眠，引申为长时间的休息。指经过长时间的休息又想出来活动。
久要不忘	久要：旧约、旧交。不忘旧约或旧交。
久负盛名	负：承受，承担，引申为享有。长时期地享有好的名声。
久违謦欬	謦欬：咳嗽声，引申为言笑。指长久没有听到对方的谈笑声。即很久不通消息。
久闻大名	闻：听到。早就听到对方的盛名。多用作初见面时的客套话。
义不主财	指为重义气者不苟取财物。
义不反顾	秉义直前，决不回顾退缩。
义不取容	取容：讨好。为追求正义而不取悦于人。指人刚直不阿。
义不容却	义：道义；容：允许；却：推托。道义上不允许推辞。
义不容辞	容：允许；辞：推托。道义上不允许推辞。
义不容隐	隐：隐瞒。就道理上讲不应隐瞒，理应直言。
义不容默	默：沉默。
义不屈节	节：节操。为了追求正义，决不失去节操。
义不得辞	义：道义；得：得到；辞：推托。道义上不允许推辞。
义不旋踵	旋踵：旋转脚跟。在道义上只能奋勇向前，不能退缩。
义不生财	主持正义者不苟取财物。亦作“义不生财，慈不主兵。”
义不背亲	背：违背。讲仁义之人是不违背父母意愿的。
义不辞难	为正义之事不避危难。
义以断恩	照大义办事，割断私欲间的恩情。指秉公处置，不徇私情。
义切中抱	切：恳切，切实；中抱：心怀。胸中怀着主持正义之情。
义切辞严	切：恳切，切实。道理切实，措词严肃。
义刑义杀	正当和不必要的刑罚与杀戮。
义外之财	指不义之财。
义夫节妇	指忠义气节双全的夫妇。
义山恩海	形容恩义深重，如山高海深。
义形于色	形：表现；色：面容。仗义不平之气在脸上流露出来。
义愤填胸	指胸中充满义愤。
义愤填膺	义愤：对违反正义的事情所产生的愤怒；膺：胸。发于正义的愤懑充满胸中。
义断恩绝	义：情义；恩：恩情。指情谊完全决裂。
义方之训	义方：为人遵守的道理。教人以为人之道的训言。
义无他顾	义：道义。为了正义事业只能勇往直前，决不退缩。
义无反顾	义：道义；反顾：向后看。从道义上只有勇往直前，不能犹豫回顾。
义无所辞	就道理上讲不应该推辞。
义无旋踵	旋踵：把脚后跟转过来，比喻退缩。在道义上只能奋勇向前，毫不退缩。亦作“义不旋踵”。
义正词严	义：道理。词：言辞。道理正当公允，严肃的措词。亦作“义正辞严”、“辞严义正”、“辞严意正”、“词严理正”、“正义严辞”。
义正辞严	义：道理；辞：言辞。理由正当充足，措词严正有力。
义正辞约	道理严正公允，措词简炼。亦作“辞顺理正”。
义气相投	彼此志趣、性格相投合。
义浆仁粟	旧指施舍贫民的食物。
义海恩山	情深似海，恩重如山。喻恩情道义深厚。
义结金兰	结交很投合的朋友。
义胆忠肝	指为人正直忠贞。
义薄云天	义：正义；薄：迫近；云天：指高空。正义之气直上高空。形容为正义而斗争的精神极其崇高。
义重恩深	恩惠、情义极为深重。
之乎也者	这四个字都是文言虚词，讽刺人说话喜欢咬文嚼字。也形容半文不白的话或文章。
之乎者也	这四个字都是文言虚词，讽刺人说话喜欢咬文嚼字。也形容半文不白的话或文章。
之子于归	之子：这个女人；于归：到丈夫家。指女子出嫁。
之死不渝	至死不变。形容忠贞不二。同“之死靡它”。
之死靡二	至死不变。形容忠贞不二。同“之死靡它”。
之死靡他	宋·王谠《唐语林·补遗一》：“一言革面，愿比家奴，之死靡他。”明·李贽《昆仑奴》：“忠臣侠忠，则扶颠持危，九死不悔，志士侠义，则临危自奋，之死靡他。”
之死靡它	之：到；靡：没有；它：别的。到死也不变心。形容爱情专一，致死不变。现也形容立场坚定。
乌七八糟	形容十分杂乱。
乌之雌雄	乌鸦雌雄不易辨认，因以比喻不分是非善恶。
乌云压顶	比喻恶势力猖狂。
乌合之众	象暂时聚合的一群乌鸦。比喻临时杂凑的、毫无组织纪律的一群人。
乌合之卒	《三国志·吴志·陈泰传》：“艾等以为王经精卒破衄于西，贼众大盛，乘胜之兵既不可当，而将军以乌合之卒，继败军之后，将士失气，陇右倾荡。”
乌合之师	象暂时聚合的一群乌鸦。比喻临时杂凑的、毫无组织纪律的军队。
乌天黑地	犹言昏天黑地。比喻社会黑暗。
乌头马角	比喻不能实现之事。同“乌白马角”。
乌帽红裙	泛指男女。
乌有先生	虚拟的人名或事物。
乌有子虚	乌有：哪有；子虚：并非真实。指假设的、不存在的、不真实的事情。
乌漆墨黑	乌黑，深黑。
乌灯黑火	指晚上没灯没火，形容很暗。
乌烟瘴气	乌烟：黑烟；瘴气：热带山林中的一种湿热空气，旧时认为是瘴疠的病原。比喻环境嘈杂、秩序混乱或社会黑暗。
乌焉成马	乌、焉、马三字字形相近，几经传抄而写错。指文字因形体相似而传写错误。
乌焦巴弓	乌：黑色；焦：火力过猛，使东西烧成炭样。原是《百家姓》中的四个姓氏。比喻烧得墨黑。
乌白马角	乌鸦变白，马头生角。比喻不能实现之事。
乌舅金奴	乌桕子油和油灯。用以讥讽吝啬者。
乌衣之游	指亲属间文酒赏会。
乌衣子弟	乌衣：乌衣巷，东晋时王导、谢安等世家大族居住在此。王谢那样的望族子弟。后泛指富贵人家的子弟。
乌衣门巷	乌衣巷：六朝时王谢两大望族的居住地。形容豪门望族的居住地。常含对世事兴亡盛衰的感叹之意。
乌衣门第	指世家望族。
乌踆兔走	指日月运行。兔，传说中的月中玉兔。借指月亮。
乌集之交	指以利聚合，不以诚相待的交情。
乌集之众	犹言乌合之众。比喻临时杂凑的、毫无组织纪律的一群人。
乌面鹄形	脸黑如乌，身瘦如鹄。形容人困饿潦倒之状。
乌飞兔走	乌：古代传说日中有三足乌，故称太阳为金乌；兔：古代传说中月中有玉兔，故称月亮为玉兔。形容光阴迅速流逝。
乌鸟之情	古时传说，乌鸦有反哺之情。因以比喻奉养长辈的孝心。
乌鸟私情	乌鸟：古时传说，小乌能反哺老乌。比喻侍奉尊亲的孝心。
乌鹊通巢	乌鸦与喜鹊同巢。比喻异类和睦共处。
乍前乍却	乍：忽然；却：后退。忽而向前，忽而后退。形容行动犹豫不定。
乍同乍异	乍：忽然；同：一样；异：不同。一会同意，一会不同意，形容言语或态度变化太快。
乍往乍来	乍：忽然；往：去。一会儿走，一会儿又来。形容来去行踪不定。
乍暖乍寒	乍：刚刚开始。忽冷忽热。形容春秋季节，天气寒暑变化无常。
乍暖还寒	形容冬末春初气侯忽冷忽热，冷热不定。
乍毛变色	形容因惊恐而毛发竖立，面色失常。
乍雨乍晴	乍：忽然。一会儿下雨，一会儿又天晴。形容人的心情或时局变化多端。
乏善足陈	善：指进德修业上成绩良好；陈：陈述，告诉。没有什么德业上的增益足以告诉对方。自谦语。
乐不可支	支：撑住。快乐到不能撑持的地步。形容欣喜到极点。
乐不可极	享乐不可过分。
乐不可言	快乐到了极点，没法用语言来表达。
乐不思蜀	很快乐，不思念蜀国。比喻在新环境中得到乐趣，不再想回到原来环境中去。
乐不极盘	盘：乐。指享乐不能过分。
乐业安居	愉快地从事自己的职业，过着安定的生活。形容生活、生产、思想状况安定正常。
乐为用命	用命：听从命令。乐于听从命令，为之效力。
乐乐不殆	乐乐：坚定；殆：通“怠”，懈怠。坚定不懈的样子。
乐乐醄醄	心情十分高兴的样子。
乐乐陶陶	心情十分高兴的样子。
乐事劝功	指乐于从事所业，努力获得成效。
乐于助人	很乐意帮助别人。
乐以忘忧	由于快乐而忘记了忧愁。形容非常快乐。
乐以道和	乐：音乐。音乐能够表现中和之气。
乐分龙赵	琴乐的流传，分为龙赵两家。
乐善不倦	乐于做好事，不觉疲倦。
乐善好义	爱做好事，讲义气。
乐善好施	乐：好，喜欢。喜欢做善事，乐于拿财物接济有困难的人。
乐嗟苦咄	高兴时招唤，不高兴时责骂。形容对人态度恶劣。
乐在其中	喜欢做某事，并在其中获得乐趣。
乐天任命	犹言听天由命。听任事态自然发展变化，不做主观努力。也比喻碰机会，该怎么样就怎么样。
乐天安命	安于自己的处境，由命运安排。这是相信宿命论的人生观。同“乐天知命”
乐天知命	天：天意；命：命运。安于自己的处境，由命运安排。这是相信宿命论的人生观。
乐尽哀生	犹言乐极生悲。欢乐到了极点，将转而发生悲伤的事。
乐尽悲来	犹言乐极生悲。欢乐到了极点，将转而发生悲伤的事。
乐山乐水	乐：喜爱，爱好。有人喜爱山，有人喜爱水。比喻各人的爱好不同。
乐山爱水	爱好山水风光。
乐往哀来	欢乐逝去，悲哀到来。
乐成人美	乐于成全人家的好事。
乐新厌旧	喜新厌旧。指感情不专一。
乐昌之镜	比喻夫妻分离。同“乐昌分镜”。
乐昌分镜	比喻夫妻分离。
乐昌破镜	比喻夫妻分离。同“乐昌分镜”
乐极则忧	好乐过度而不止，必生忧伤。
乐极则悲	欢乐到了极点，将转而发生悲伤的事。
乐极哀来	欢乐到了极点，将转而发生悲伤的事。同“乐极则悲”。
乐极哀生	乐：快乐。欢乐过度就会招致悲哀的事情。
乐极悲来	欢乐到了极点，将转而发生悲伤的事。同“乐极则悲”。
乐极悲生	高兴到极点时，发生使人悲伤的事。
乐极生哀	欢乐到了极点，将转而发生悲伤的事。同“乐极则悲”。
乐极生悲	高兴到极点时，发生使人悲伤的事。
乐此不倦	此：这。因酷爱干某事而不感觉厌烦。形容对某事特别爱好而沉浸其中。
乐此不疲	此：这。因酷爱干某事而不感觉厌烦。形容对某事特别爱好而沉浸其中。
乐水乐山	乐：喜爱，爱好。有人喜爱山，有人喜爱水。比喻各人的爱好不同。
乐祸不悛	乐：爱好；悛：悔改。好为祸患并坚持不改变。
乐祸幸灾	犹言幸灾乐祸。谓以别人的灾祸为乐。
乐而不厌	喜爱而不厌倦。
乐而不淫	快乐而不过分。指表现的情感有节制。
乐而不荒	指表现的情感有节制。同“乐而不淫”。
乐而忘归	非常快乐，竟忘记回家。形容沉迷于某种场合，舍不得离开。
乐而忘忧	高兴得忘记了忧愁。
乐而忘死	形容胸襟旷达，忘怀一切。
乐而忘返	非常快乐，竟忘记回家。形容沉迷于某种场合，舍不得离开。
乐育人材	育：培育。喜欢培育人材。用以赞颂学校或教育工作者。
乐行忧违	指所乐的事就去做，所忧的事则避开。
乐贫甘贱	甘：甘愿；贱：地位卑贱。乐于贫困的生活，甘于卑贱的地位。
乐退安贫	指乐于逊退，安于贫穷。
乐道好古	以守道为乐，喜爱古制。
乐道安命	乐守正道而安于天命。
乐道安贫	道：信念；乐道：以守道为乐；安贫：安于贫困。处在贫困的境地中，仍以守道作乐趣。
乐道忘饥	指醉心于圣道。
乐道遗荣	乐守圣贤之道而抛弃荣华富贵。
乒乒乓乓	象声词，形容响声。
乔妆打扮	指进行伪装，隐藏身份。同“乔装打扮”。
乔妆改扮	乔：做假。乔妆：改变服装、容颜。指化妆改变形象，掩饰本来的身份。亦作“乔装打扮”、“乔装改扮”。
乔文假醋	指假斯文；假道学。
乔木世家	乔木：代指贵族、高官。指贵族世家。
乔松之寿	乔、松：古代传说中的仙人王乔和赤松子。指像仙人那样的长寿。
乔模乔样	乔：假装。装模作样。
乔装打扮	乔装：改变服装、面貌；打扮：指化装。指进行伪装，隐藏身份。
乔装改扮	乔：改换。指改换服饰以伪装隐瞒身分。
乔迁之喜	乔迁：鸟儿飞离深谷，迁到高大的树木上去。贺人迁居或贺人官职升迁之辞。
乔龙画虎	形容假心假意地献殷勤。
乖僻邪谬	乖：乖张，不顺；僻：孤僻。指性格古怪孤僻，不近人情。
乖唇蜜舌	形容口齿伶俐，惯于说讨人喜欢的甜言蜜语。
乖嘴蜜舌	形容口齿伶俐，惯于说讨好人的甜言蜜语。
乘云行泥	比喻地位高下悬殊。
乘人不备	乘：趁着。趁着别人没有防备干某事。
乘人之危	乘人家危难的时候去威胁损害。
乘人之厄	乘：趁；厄：苦难。趁人家危难的时候加以要挟或陷害。
乘伪行诈	指弄虚作假。
乘兴而来	乘：趁，因；兴：兴致，兴趣。趁着兴致来到，结果很扫兴的回去。
乘其不备	乘：趁。利用别人没有防备的时机，去侵害对方。
乘其不意	乘：趁，因；意：猜想，意料。利用别人没有防备的时机动手。
乘利席胜	凭借着胜利的形势。
乘势使气	仗势逞性子。
乘坚伺隙	钻空子等待时机。
乘坚策肥	坚：坚固的车子；策：鞭打；肥：肥壮的马。坐牢固的车，驾肥壮的马。形容生活豪华。
乘坚驱良	坚：坚固的车子；良：好马。坐牢固的车，驾肥壮的马。形容生活豪华。
乘敌不虞	虞：料想。军事上指乘敌人懈怠，采取某种敌人预料不到的行动。
乘敌之隙	乘：趁，利用；隙：空子，机会。
乘时乘势	旧指人应趁着机会、时势，做一番事业。
乘机应变	随着时机或情况而变化。形容灵活机敏。
乘机打劫	指利用机会掠夺钱财。
乘桴浮海	桴：用竹、木编结成的小筏子。坐在小木排上在海上漂浮。指隐逸。
乘热打铁	比喻做事抓紧时机，加速进行。
乘疑可间	乘：利用；间：离间。利用对方的猜疑，可以离间其内部关系。
乘肥衣轻	肥：肥壮的马。衣：穿。轻：轻暖的裘衣。驾驭肥壮的马，穿着贵重的衣服。形容生活奢侈豪华。
乘胜追击	乘：趁着。趁着胜利的形势继续追击敌人，扩大战果。
乘胜逐北	乘：趁，因；北：败。指乘着胜利继续追击。
乘舆播越	乘舆：帝王乘坐的车；播越：离散，流亡。指帝王流亡在外。
乘舆播迁	乘舆：帝王坐的车。指帝王流亡在外。
乘虚以入	乘：趁着；虚：空隙，弱点。趁着空隙或无人防范而进入。
乘虚可惊	乘：趁着；惊：惊吓。趁敌人空虚可以恫吓他。
乘虚而入	乘：趁。趁着虚弱疏漏的地方进入。
乘虚蹈隙	犹言切中窾窍。比喻叩击中节。
乘虚迭出	虚：空虚、弱点。迭：屡次。指军事上向对方没有设防或兵力薄弱的地方进攻。
乘车戴笠	乘：坐，驾；笠：斗笠。比喻不因为富贵而改变贫贱之交。
乘轻驱肥	乘好车，驱良马。形容生活奢华。
乘酒假气	乘：就着；假：利用。借着酒醉的气势。
乘间伺隙	利用空隙或漏洞以等待机会。
乘间作祸	趁机会干坏事。
乘间击瑕	乘：趁，利用；间：间隙；瑕：空隙。钻空子，打击对方薄弱的地方。
乘间取利	乘：利用；间：空隙。利用对方力量薄弱的地方袭击取胜。
乘间投隙	乘机挑拨离间。
乘间抵隙	指趁机钻空子。
乘险抵巇	冒险钻空子。巇，多指（山岭）险恶、险峻。
乘隙捣虚	趁空子，攻虚弱。
乘隙而入	趁着虚弱疏漏的地方进入。
乘顺水船	比喻顺势行事。
乘风兴浪	比喻趁机挑起事端。
乘风破浪	船只乘着风势破浪前进。比喻排除困难，奋勇前进。
乘风转舵	比喻顺随情势改变态度。
乘高决水	凭借地势居高临下，决口放水。比喻费力小，收效大。
乘高居险	居：占据。占据高峻、险要的地势。
乘鸾跨凤	乘鸾：求得佳偶。比喻结成美好的佳偶。
乘龙佳婿	乘龙：女子乘坐于龙上得道成仙。佳婿：称意的女婿。旧时指才貌双全的女婿。也用作誉称别人的女婿。
乘龙快婿	乘龙：女子乘坐于龙上得道成仙。快婿：称意的女婿。旧时指才貌双全的女婿。也用作誉称别人的女婿。
乘龙贵婿	对别人的女婿的称赞。
乘龙配凤	比喻得佳偶，结良缘。
乜斜缠帐	假作痴呆，纠缠不休。
九世之仇	九世：九代，形容历时久远。指久远的深仇。
九世同居	九世：九代。九代人居住在一起不分家。
九九归一	归根到底。
九九归原	犹言归根到底。归结到根本上。
九五之位	九五：指帝位。指帝王的尊位。
九五之尊	九五：指帝位。旧指帝王的尊位。
九仞一篑	“为山九仞，功亏一篑”的略语。比喻功败垂成。
九儒十丐	儒：旧指读书人。元代统治者把人分为十等，读书人列为九等，居于末等的乞丐之上。后指知识分子受到歧视和苛待。
九关虎豹	比喻凶残的权臣。
九十其仪	九、十：虚数，形容多；仪：仪表。旧时指女子出嫁时，父母反复叮咛要注意仪容举止。指礼仪非常多。也指夸奖新妇的仪态很美。
九十春光	九十：指春季三个月，共九十天。指春天的美好光景。
九原之下	九原：山名，春秋时晋国卿大夫的墓地。泛指墓地。
九原可作	九原：春秋时晋国卿大夫的墓地在九原，因称墓地；作：起，兴起。设想死者再生。
九变十化	指变化多端。
九合一匡	原指春秋时齐桓公多次会合诸侯，称霸主，使混乱的政局得以安定。后用以形容有卓越的治国才能。
九品中正	指中国古代魏、晋、南北朝维护世族特权的官吏选拔制度。代指等级制度。
九回肠断	形容痛苦、忧虑、愁闷已经到了极点。同“九回肠”。
九垓八埏	垓：通“陔”，重，层；九垓：即九重天，天之极高处；埏：边际；八埏：指边际远之地。指天地的终极之处，即天涯海角。
九天九地	原指天上的最高层和地的最深处。后比喻两者相差极远。
九天仙女	指天上的仙女，比喻绝色美女。
九天揽月	揽：采摘。到天的最高处去摘月。常形容壮志豪情。
九如天宝	九如：该诗中连用了九个“如”字，有祝贺福寿延绵不绝之意；天保：《诗经·小雅》中的篇名。旧时祝寿的话，祝贺福寿绵长。
九宗七祖	泛指祖宗。
九州八极	九州：中国古代地域共划分为九州；八极：九州之外最边远的地方。指天下所有远近的地区。
九州四海	犹言天下。泛指全中国。
九年之储	九年的储备。指国家平时有所积蓄，以备非常。
九年之蓄	蓄：积聚，储藏。九年的储备。指国家平时有所积蓄，以备非常。
九战九胜	形容每战必胜。
九折成医	几次断臂，就能知道医治断臂的方法。后比喻对某事阅历多，富有经验，成为内行。也指高明的医道。
九攻九距	九：泛指多次；距：通“拒”，抵抗。形容攻守征战非常激烈。
九故十亲	泛指亲戚朋友。
九旋之渊	九：多数；旋：旋窝；渊：深渊。旋窝多的深渊。比喻智谋深广。
九春三秋	九春：春季共九十天，故称“九春”；三秋：秀季三个月，故称“三秋”。指春天和秋天的美好时光。
九曲回肠	形容痛苦、忧虑、愁闷已经到了极点。
九朽一罢	原指画人物的一种技法。后也指在文学、艺术创作中严肃认真的态度。
九棘三槐	棘、槐：树名。古代皇宫外朝种植棘树和槐树，作为臣子朝见皇帝时所居位置的标志。后泛指三公、九卿等高级官职。
九死一生	九：表示极多。形容经历很大危险而幸存。也形容处在生死关头，情况十分危急。
九死不悔	九：表示极多。纵然死很多回也不后悔。形容意志坚定，不认经历多少危险，也决不动摇退缩。
九死未悔	九：表示极多。纵然死很多回也不后悔。形容意志坚定，不认经历多少危险，也决不动摇退缩。
九江八河	泛指所有的江河。
九泉之下	九泉：地下。死人埋葬的地方，即在阴间。
九泉无恨	九：虚数，指极深；九泉：也称“黄泉”，人死后埋葬的地方。指死而无恨。
九洲四海	九洲：指中国；四海：古人认为，中国九州之久是一望无际的大海，此指中国以外的地方。指中国及四周以外的地方。
九流三教	泛指宗教、学术中各种流派。也指社会上各行各业的人。
九流人物	指社会上的各种人物。
九流十家	先秦到汉初各种学说派别的总称。
九流宾客	先秦到汉初有法、名、墨、儒、道、阴阳、纵横、杂、农九种学术流派。指上中下各品的人才和各种人物。
九流百家	泛指各种学术流派。同“九流一家”。
九烈三贞	贞：贞操；烈：节烈。封建社会用来赞誉妇女的贞烈。
九牛一毛	九条牛身上的一根毛。比喻极大数量中极微小的数量，微不足道。
九牛一毫	九条牛身上的一根毛。比喻极大数量中极微小的数量，微不足道。
九经三史	泛指古代典籍。
九经百家	泛指古代典籍和各种学术流派。
九蒸三熯	热气上升为蒸，火干为熯。比喻久经熬炼。
九行八业	指各种行业。
九衢三市	指繁华的街市。
九转丸成	转：循环变化；丸：指金丹。道家语，指炼得九转金丹。后常比喻经过长期不懈的艰苦努力而终于获得成功。
九转丹成	转：循环变华。原为道家语，指炼得九转金丹。后常比喻经过长期不懈的艰苦努力而终于获得成功。
九转功成	转：循环变华。原为道家语，指炼得九转金丹。后常比喻经过长期不懈的艰苦努力而终于获得成功。
九锡宠臣	九锡：古代帝王赐给重臣的车马、虎贲等九种器物。形容位高权重，深受皇帝宠信的大臣。
九间大殿	帝王受百官朝拜的大殿。同“九间朝殿”。
九间朝殿	帝王受百官朝拜的大殿。间，指两柱的距离。九间，极言堂殿之宽广。亦作“九间大殿”。
九阍虎豹	比喻凶残的权臣。同“九关虎豹”。
九霄云外	九霄：高空。在九重天的外面。比喻无限远的地方或远得无影无踪。
九鼎一丝	同千钧一发，比喻非常危急。
九鼎一言	《史记·平原君列传》：“毛先生一至楚而使赵重于九鼎大吕。毛先生以三寸之舌，强于百万之师。胜不敢复相士。”
九鼎大吕	九鼎：古传说，夏禹铸九鼎，象征九州，是夏商周三代的传国之宝；大吕：周庙大钟。比喻说得话力量大，分量重。
乞丐之徒	徒：辈。形容乞求恩宠的人。
乞儿乘车	讽刺官职提升得快的话。
乞儿暴富	乞儿：乞丐。乞丐骤然发了大财。比喻学问大增。
乞儿马医	乞儿：乞丐；马医：兽医中专治马病的人。旧指卑贱的人。
乞哀告怜	哀：怜悯；告：请求。乞求别人的怜悯和帮助。
乞宠求荣	乞：乞讨；宠：宠爱；荣：富贵。乞求宠幸以获得荣华富贵。
乞怜摇尾	怜：怜悯；乞：乞求。狗摇着尾巴向主人乞求爱怜。比喻装出一副可怜相向人讨好。
乞浆得酒	浆：淡酒，一种比酒质量差的饮料。讨杯浆水喝，却得到了酒。比喻得到的超过所要求的。
乞灵药石	乞灵：求助于所谓的的某种中权威；药石：治病的药物和砭石，泛指药物。求助于神灵和药物。
乞穷俭相	乞丐似的寒酸相。
习与体成	习：习惯。长期的习惯将会形成一定的性格。
习与性成	性：性格。长期习惯于怎样，就会形成怎样的性格。有习惯成自然的意思。
习为故常	故常：常例。经常如此，养成习惯，就被当作常规了。
习久成性	性：性格。长期习惯于怎样，就会形成怎样的性格。有习惯成自然的意思。
习以为常	习：习惯。指某种事情经常去做，或某种现象经常看到，也就觉得很平常了。
习以成俗	俗：习惯。长期以来就是这样做，成了习俗。
习以成性	习：习惯。习惯了就养成了性格。
习以成风	风：风气。习惯了，就形成了风气。
习俗移人	移：改变；人：指人的本性。风俗习惯可以改变人的习性。
习俗移性	风俗习惯可以改变人的习性。
习惯自然	习惯了就成为很自然的事了。
习故安常	指习惯于规。
习无不精	习：学习；精：精通。学习没有不精通的。
习焉不察	习：习惯；焉：语气词，有“于此”的意思；察：觉察。指经常接触某种事物，反而觉察不到其中存在的问题。
习焉不觉	习：习惯；焉：语气助词，相当于“于是”的意思。指习惯于某种事物而觉察不到其中的问题。
习焉弗察	习：习惯；焉：语气助词，相当于“于是”的意思。指习惯于某种事物而觉察不到其中的问题。
习而不察	习：习惯。指常见之事，就觉察不到存在的问题。
习若自然	若：像。习惯了就像很自然的事。
习非成俗	指习惯于不好的东西而成风尚。
习非成是	对某些错误事情习惯了，反以为本来就是对的。
习非胜是	习：习惯；非：错误的；是：正确的。对某些错误事情习惯了，反以为本来就是正确的。
乡乡而饱	乡：通“飨”；乡乡：吃得很满足。形容吃得很满足的样子。
乡书难寄	乡书：家书。家书很难寄回家中。比喻与家乡消息隔绝。
乡利倍义	趋向私利，违背正义。乡，通“向”。倍，通“背”。
乡土难离	乡土：家乡，故土。难于离开故乡的土地。形容对家乡或祖国有无限的眷恋之情。
乡壁虚造	即对着墙壁，凭空造出来的。比喻无事实根据，凭空捏造。
乡曲之情	乡曲：乡里。同乡的情谊。
乡曲之意	指乡里的称誉。
乡曲之见	乡曲：乡里，也指偏僻的地方。形容见识寡陋。
乡曲之誉	指乡里的称誉。
乡规民约	指由当地村民共同制定并要求共同遵守的规约。
乡里不通	乡里：籍贯。旧指不能进出宫门。也指没有作官，朝中没有名籍。
乡里夫妻	乡里：家乡。指相守在一起不分离的夫妻。
乡风慕义	乡：通“向”。指向往其教化，仰慕其礼义。或指向往其风度，仰慕其义行。
书不尽意	指文辞难充分达意。后多作书信结尾习用语。
书不尽言	书：书信。信中难以充分表达其意。后多作书信结尾习用语。
书不释手	手里的书舍不得放下。形容勤学或看书入迷。
书剑飘零	书剑：书籍和宝剑，指读书做官，仗剑从军。本指做官或从军，离乡背井，飘流在外。后指因求取功名而出门在外、久游未归。
书功竹帛	把功绩写在竹简绢帛上。比喻载入史册。
书囊无底	指古今书籍不可胜数。
书声朗朗	形容读书声音清朗而响亮。
书声琅琅	形容读书声音响亮。
书富五车	五车：指五车书。形容读书多，学识丰富。
书生之见	指读书人不切实际或不合时宜的见解。
书画卯酉	犹言上下班。卯时签到，酉时签退。
书空咄咄	为叹息、愤慨、惊诧的的典实。
书符咒水	书：画；符：符箓；水：神水。泛指道士作法的迷信活动。
书缺有间	泛指古书残缺已有多年。
书缺简脱	简：古代供书写用的竹、木简；脱：丢失。指书简散佚残缺。
书记翩翩	书记：记事的书面文字；翩翩：举止、风貌的洒脱优美。形容风格隽雅，文辞优美。
书读五车	形容读书多，知识丰富。
书通二酉	比喻读书甚多，学识丰富精湛。二酉：指大酉山、小酉山。
书香世家	指世代都是读书人的家庭。
书香人家	指世代都是读书人的家庭。
